Date,Open,High,Low,Close
20180821,6301.07,6500.87,6298.24,6488.76
20180822,6486.25,6816.79,6310.11,6376.71
20180823,6371.34,6546.54,6371.34,6534.88
20180824,6551.52,6719.96,6498.64,6719.96
20180825,6719.95,6789.63,6700.96,6763.19
20180826,6754.64,6774.75,6620.75,6707.26
20180827,6710.8,6884.64,6689.71,6884.64
20180828,6891.08,7109.56,6882.34,7096.28
20180829,7091.71,7113.3,6970.82,7047.16
20180830,7043.76,7072.69,6834.69,6978.23
20180831,6973.97,7057.17,6920.16,7037.58
20180901,7044.81,7242.29,7038.05,7193.25
20180902,7189.58,7306.31,7132.16,7272.72
20180903,7279.03,7317.94,7208.15,7260.06
20180904,7263.0,7388.26,7255.44,7361.66
20180905,7361.46,7388.43,6792.83,6792.83
20180906,6755.14,6755.14,6404.72,6529.17
20180907,6528.92,6555.29,6396.87,6467.07
20180908,6460.17,6534.25,6197.52,6225.98
20180909,6223.38,6446.26,6201.22,6300.86
20180910,6301.57,6374.98,6292.76,6329.7
20180911,6331.88,6398.92,6260.21,6321.2
20180912,6317.01,6363.87,6265.09,6351.8
20180913,6354.24,6535.41,6354.24,6517.31
20180914,6515.41,6596.1,6456.17,6512.71
20180915,6509.4,6561.72,6493.55,6543.2
20180916,6536.68,6544.33,6460.1,6517.18
20180917,6514.06,6540.21,6257.52,6281.2
20180918,6280.91,6384.18,6265.71,6371.3
20180919,6371.85,6448.46,6208.34,6398.54
20180920,6398.85,6529.26,6395.95,6519.67
20180921,6513.87,6794.33,6496.36,6734.95
20180922,6735.05,6814.56,6616.8,6721.98
20180923,6715.32,6766.15,6679.42,6710.63
20180924,6704.77,6713.56,6580.9,6595.41
20180925,6603.64,6603.64,6381.86,6446.47
20180926,6452.79,6585.91,6397.89,6495.0
20180927,6495.29,6712.1,6464.95,6676.75
20180928,6678.75,6785.03,6598.32,6644.13
20180929,6643.1,6643.1,6511.65,6601.96
20180930,6604.71,6643.78,6566.54,6625.56
20181001,6619.85,6653.3,6549.08,6589.62
20181002,6593.24,6611.84,6537.9,6556.1
20181003,6553.86,6571.46,6454.03,6502.59
20181004,6497.91,6603.31,6497.91,6576.69
20181005,6574.15,6623.62,6557.41,6622.48
20181006,6622.45,6628.54,6577.8,6588.31
20181007,6590.68,6641.49,6557.04,6602.95
20181008,6600.19,6675.06,6576.04,6652.23
20181009,6653.08,6661.41,6606.94,6642.64
20181010,6640.29,6640.29,6538.96,6585.53
20181011,6586.74,6586.74,6243.74,6256.24
20181012,6239.25,6328.5,6236.47,6274.58
20181013,6278.08,6308.51,6259.81,6285.99
20181014,6288.49,6363.21,6280.15,6290.93
20181015,6292.64,6965.06,6258.68,6596.54
20181016,6601.41,6673.59,6571.37,6596.11
20181017,6590.52,6601.21,6517.45,6544.43
20181018,6542.33,6567.54,6450.04,6476.71
20181019,6478.07,6493.68,6445.31,6465.41
20181020,6460.92,6497.72,6449.0,6489.19
20181021,6490.09,6556.38,6476.0,6482.35
20181022,6486.05,6543.8,6462.98,6487.16
20181023,6472.36,6506.01,6451.27,6475.74
20181024,6478.89,6521.99,6468.86,6495.84
20181025,6484.65,6504.65,6447.03,6476.29
20181026,6468.44,6498.29,6449.61,6474.75
20181027,6480.84,6507.41,6453.53,6480.38
20181028,6482.66,6502.28,6447.91,6486.39
20181029,6492.35,6503.6,6306.99,6332.63
20181030,6337.04,6364.99,6310.14,6334.27
20181031,6336.99,6349.16,6316.88,6317.61
20181101,6318.14,6547.14,6311.83,6377.78
20181102,6378.92,6396.86,6327.38,6388.44
